name,imgSrc,categories,dealType,digitalCoupon,isSelected
Doritos Tortilla Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/doritos_tortilla_chips.jpg,Grocery,BOGO,,false
Entenmann's Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/entenmanns_products.jpg,Grocery,BOGO,,false
Greenfield Natural Meat Co. Bacon,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/greenfield_natural_meat_co_bacon.jpg,Meat,BOGO,,false
Vita Coco Coconut Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/vita_coco_coconut_water.jpg,Grocery,BOGO,,false
Kinder Joy Egg,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/kinder_joy_egg.jpg,Grocery,BOGO,,false
Sargento Natural American Cheese Slices,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/sargento_natural_american_cheese_slices.jpg,Dairy,BOGO,,false
Good Foods Traditional Chunky Guacamole,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/good_foods_traditional_chunky_guacamole.jpg,Produce,BOGO,,false
Pete & Gerry's Organic Brown Eggs,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/pete_gerrys_organic_brown_eggs.jpg,Dairy,BOGO,,false
Clearly Canadian Sparkling Water Beverage,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/clearly_canadian_sparkling_water_beverage.jpg,Grocery,BOGO,,false
Ocean Spray Craisins Dried Cranberries,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ocean_spray_craisins_dried_cranberries.jpg,Grocery,BOGO,,false
Ball Park Franks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ball_park_franks.jpg,Meat,BOGO,,false
Panera Bread Mac & Cheese Bowl,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/panera_bread_mac_cheese_bowl.jpg,Deli,BOGO,,false
Bolthouse Farms 100% Juice Smoothie,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bolthouse_farms_100_juice_smoothie.jpg,Produce,BOGO,,false
La Mexicana Salsa,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/la_mexicana_salsa.jpg,Produce,BOGO,,false
Sunny D Citrus Punch,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/sunny_d_citrus_punch.jpg,Grocery,BOGO,,false
Ortega Taco Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ortega_taco_sauce.jpg,Grocery,BOGO,,false
Hostess Snacks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/hostess_snacks.jpg,Grocery,BOGO,,false
Ortega Diced Green Chiles,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ortega_diced_green_chiles.jpg,Grocery,BOGO,,false
Tyson Breaded Chicken,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/tyson_breaded_chicken.jpg,Meat,BOGO,,false
8-Pack 7UP Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/8pack_7up_products.jpg,Grocery,BOGO,,false
Steak-Umm Sandwich Steaks,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/steakumm_sandwich_steaks.jpg,Meat,BOGO,,false
Belgioioso Crumbly Gorgonzola Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/belgioioso_crumbly_gorgonzola_cheese.jpg,Deli,BOGO,,false
Wholly Guacamole,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/wholly_guacamole.jpg,Deli,BOGO,,false
Casa Flores Serrano Ham,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/casa_flores_serrano_ham.jpg,Deli,BOGO,,false
Ocean Spray Craisins,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ocean_spray_craisins.jpg,Grocery,BOGO,,false
Creminelli Fine Meats Trio,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/creminelli_fine_meats_trio.jpg,Deli,BOGO,,false
Polar Seltzer Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/polar_seltzer_water.jpg,Grocery,BOGO,,false
Red Apple Gouda Cheese,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/red_apple_gouda_cheese.jpg,Deli,BOGO,,false
Ocean Spray Juice Cocktail,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/ocean_spray_juice_cocktail.jpg,Grocery,BOGO,,false
Mission Flour Tortillas,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/mission_flour_tortillas.jpg,Grocery,BOGO,,false
Bumble Bee Albacore White Tuna,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/bumble_bee_albacore_white_tuna.jpg,Seafood|Grocery,BOGO,,false
Foster Farms Corn Dogs,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/foster_farms_corn_dogs.jpg,Meat,BOGO,,false
6-Pack 7UP Products,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/6pack_7up_products.jpg,Grocery,BOGO,,false
WTRMLN WTR Hydration,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/wtrmln_wtr_hydration.jpg,Produce,BOGO,,false
Mary's Gone Crackers Organic Crackers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/marys_gone_crackers_organic_crackers.jpg,Grocery,BOGO,,false
Dare Crackers,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/dare_crackers.jpg,Grocery,BOGO,,false
Silver Floss Sauerkraut,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/silver_floss_sauerkraut.jpg,Grocery,BOGO,,false
Yucatan Guacamole,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/yucatan_guacamole.jpg,Produce,BOGO,,false
Castello Blue Cheese Crumbles,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/castello_blue_cheese_crumbles.jpg,Deli,BOGO,,false
Daiya Cheese Alternative Cheddar Style,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/daiya_cheese_alternative_cheddar_style.jpg,Produce,BOGO,,false
Fanatico Foods Egg Rolls,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/fanatico_foods_egg_rolls.jpg,Deli,BOGO,,false
Castello Danish Blue Cheese Wedge,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/castello_danish_blue_cheese_wedge.jpg,Deli,BOGO,,false
Gatorade Zero Beverage Powder,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/gatorade_zero_beverage_powder.jpg,Grocery,BOGO,,false
Chunk Nibbles Sweet & Salty Clusters,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/chunk_nibbles_sweet_salty_clusters.jpg,Deli,BOGO,,false
Free2b Sunflower Butter Sun Cups,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/free2b_sunflower_butter_sun_cups.jpg,Grocery,BOGO,,false
Saverne Artisanal Organic Sauerkraut,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/saverne_artisanal_organic_sauerkraut.jpg,Grocery,BOGO,,false
Publix Shrimp,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/publix_shrimp.jpg,Seafood,BOGO,,false
Jackson's Veggie Straws or Potato Chips,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/jacksons_veggie_straws_or_potato_chips.jpg,Grocery,BOGO,,false
Truff Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/truff_sauce.jpg,Grocery,BOGO,,false
Fiji Natural Artesian Water,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/fiji_natural_artesian_water.jpg,Grocery,BOGO,,false
Siete Salsa,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/siete_salsa.jpg,Grocery,BOGO,,false
Lotus Foods Organic Rice Ramen,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/lotus_foods_organic_rice_ramen.jpg,Grocery,BOGO,,false
Melinda's Sauce,https://raw.githubusercontent.com/Galigos162/publix-bogo-data/main/images/melindas_sauce.jpg,Grocery,BOGO,,false
