storenumber,cutoverDay
1708,thursday
1709,thursday
1711,thursday
1712,thursday
1713,wednesday
1714,wednesday
1715,thursday
1716,wednesday
1717,wednesday
1718,wednesday
1719,thursday
1720,wednesday
1721,thursday
1722,thursday
1723,thursday
1724,wednesday
1725,wednesday
1726,wednesday
1727,wednesday
1728,wednesday
1729,thursday
1730,thursday
1731,wednesday
1732,wednesday
1733,wednesday
1734,thursday
1735,thursday
1736,wednesday
1737,thursday
1738,thursday
1739,wednesday
1741,thursday
1742,thursday
1744,wednesday
1745,wednesday
1746,wednesday
1747,thursday
1748,thursday
1749,thursday
1750,thursday
1751,thursday
1752,thursday
1753,thursday
1754,thursday
1755,thursday
1756,wednesday
1758,wednesday
1759,thursday
1760,wednesday
1761,wednesday
1762,thursday
1763,thursday
1764,thursday
1765,wednesday
1766,thursday
1767,wednesday
1768,wednesday
1769,thursday
1770,thursday
1771,thursday
1772,wednesday
1773,wednesday
1774,thursday
1775,wednesday
1776,thursday
1777,wednesday
1778,wednesday
1779,wednesday
1780,wednesday
1781,thursday
1782,thursday
1783,thursday
1784,thursday
1785,wednesday
1786,wednesday
1787,thursday
1788,thursday
1789,thursday
1790,wednesday
1792,thursday
1793,thursday
1794,wednesday
1795,thursday
1796,wednesday
1797,thursday
1798,thursday
1799,wednesday
1800,thursday
1801,wednesday
1802,wednesday
1803,thursday
1804,thursday
1805,thursday
1806,wednesday
1807,wednesday
1808,thursday
1809,wednesday
1810,thursday
1811,wednesday
1812,wednesday
1813,thursday
1816,wednesday
1817,wednesday
1818,thursday
1820,thursday
1821,thursday
1822,wednesday
1824,wednesday
1825,wednesday
1826,thursday
1827,wednesday
1828,thursday
1829,thursday
1830,wednesday
1831,wednesday
1832,thursday
1834,thursday
1835,wednesday
1836,thursday
1837,thursday
1838,wednesday
1840,thursday
1841,thursday
1842,thursday
1843,thursday
1844,thursday
1845,thursday
1846,wednesday
1847,wednesday
1848,thursday
1849,thursday
1850,thursday
1851,thursday
1852,thursday
1853,thursday
1854,thursday
1855,wednesday
1856,wednesday
1858,wednesday
1859,thursday
1861,thursday
1862,thursday
1863,wednesday
1864,thursday
1865,wednesday
1866,wednesday
1867,wednesday
1868,wednesday
1870,wednesday
1871,thursday
1872,wednesday
1873,wednesday
1875,wednesday
1876,thursday
1877,thursday
1878,wednesday
1879,wednesday
1880,wednesday
1881,wednesday
1882,thursday
1883,wednesday
1884,thursday
1885,wednesday
1886,wednesday
1887,wednesday
1888,wednesday
1889,thursday
1890,wednesday
1891,wednesday
1892,wednesday
1893,wednesday
1894,thursday
1895,thursday
1896,thursday
1897,thursday
1898,thursday
1899,thursday
2001,wednesday
2002,wednesday
2003,wednesday
2005,thursday
2006,wednesday
2007,thursday
2008,thursday
2009,wednesday
2010,wednesday
2011,wednesday
2012,thursday
2013,thursday
2014,thursday
2016,wednesday
2017,wednesday
2018,thursday
2020,wednesday
2021,thursday
2022,thursday
2023,wednesday
2024,wednesday
2025,wednesday
2027,wednesday
2029,wednesday
2030,wednesday
2031,wednesday
2032,wednesday
2034,wednesday
2035,thursday
2036,wednesday
2037,thursday
2038,wednesday
2039,wednesday
2040,wednesday
2041,thursday
2042,wednesday
2043,thursday
2045,wednesday
2047,wednesday
2050,wednesday
2051,wednesday
2052,wednesday
2053,wednesday
2055,wednesday
2057,wednesday
2058,wednesday
2059,wednesday
2088,thursday
2089,thursday
2090,wednesday
2091,thursday
2092,thursday
2094,thursday
2095,thursday
2096,thursday
2098,wednesday
2099,thursday
2100,wednesday
2101,wednesday
2102,wednesday
2103,thursday
2104,thursday
2105,wednesday
2106,wednesday
2107,thursday
2108,thursday
2109,wednesday
2112,thursday
2113,thursday
2117,thursday
2120,wednesday
2121,thursday
2141,thursday
2145,wednesday
